WELLID,UNION,VILLAGE,LATITUDE ,LONGITUDE,DEPTH-FT,YEAR,KIT-COLOR,ARSENIC
1060,Brahmandi,Choto Manohardi,,90.61689,35,1999,Green,23
1296,Brahmandi,Chota Monohardi,,90.60705,70,1999,Red,469
1643,Brahmandi,Chota Binarchar,,90.63624,60,1995,Red,159
1697,Brahmandi,Dhar Maruadi,,90.63186,72,1999,Red,93
2049,Brahmandi,Fausa,,90.62444,60,1996,Red,522
2050,Brahmandi,Fausa,,90.62419,50,1998,Red,172
2654,Brahmandi,Ujan  Gobindi,,90.62606,40,1990,Red,399
2664,Brahmandi,Ujan  Gobindi,,90.62636,50,2003,Green,95
2665,Brahmandi,Ujan  Gobindi,,90.62651,40,2002,Green,189
3384,Duptara,Hatkholapara,,90.61511,45,1990,Red,149
3493,Brahmandi,Bara Manohardi,,90.61102,40,1999,Red,148
3498,Brahmandi,Bara Manohardi,,90.61114,35,1988,Green,97
3507,Duptara,Bhuyanpara,,90.61157,25,1999,Green,1
3794,Brahmandi,Utrapur,,90.60066,50,2000,Red,149
4419,Brahmandi,Baliapara,,90.58662,60,1988,Red,109
4457,Brahmandi,Baliapara,,90.58555,60,1995,Red,245
4567,Brahmandi,Bhati Baliapara,,90.5927,45,1996,Red,516
7088,Araihazar,Jhaugara,,90.646,45,2001,Red,93
7353,Araihazar,Mukandi,,90.65151,40,1970,Red,48
7357,Araihazar,Mukandi,,90.65153,30,2001,Green,172
7890,Brahmandi,Maruadi,,90.63122,60,1990,Red,175
7893,Brahmandi,Maruadi,,90.63149,45,1992,Green,624
7970,Brahmandi,Chota Fausa,,90.63032,30,1999,Red,254
